tree_id,accession_number,common_name,scientific_name,additional_taxonomy,dbh,quantity,latitude,longitude,source,community_tag,memorial,age_class,condition_class,date_planted,date_inventoried,tree_asset_value
1009,909-2022 U,Elm-Siberian,Ulmus pumila,,35,,41.83945592,-87.6272413,Unknown,,,Mature,Fair,,,12993.75
1010,910-2022 U,Elm-Siberian,Ulmus pumila,,21,,41.83946075,-87.62729325,Unknown,,,Semi- mature,Fair,,,4846.59
1011,911-2022 U,Elm-Siberian,Ulmus pumila,,18,,41.83941828,-87.62744215,Unknown,,,Semi- mature,Fair,,,3560.76
1012,912-2022 U,Mulberry-White,Morus alba,,"24,21",,41.83947955,-87.62756823,Unknown,,,Mature,Poor,,,4023.66
1013,913-2022 U,Maple-Silver,Acer saccharinum,,33,,41.8394292,-87.6280113,Unknown,,,Mature,Fair,,,16367.67
1014,914-2022 U,Elm-Siberian,Ulmus pumila,,26,,41.8394531,-87.6280549,Unknown,,,Mature,Good,,,10400.94
1015,915-2022 U,Elm-Siberian,Ulmus pumila,,38,,41.83945072,-87.62825188,Unknown,,,Mature,Fair,,,14877.24
1016,916-2022 U,Elm-Siberian,Ulmus pumila,,39,,41.8394514,-87.62880082,Unknown,,,Mature,Fair,,,15486.31
1017,917-2022 U,Elm-Siberian,Ulmus pumila,,24,,41.83943447,-87.62867107,Unknown,,,Mature,Fair,,,3798.14
1018,918-2022 U,Elm-Siberian,Ulmus pumila,,35,,41.83944388,-87.62856288,Unknown,,,Mature,Fair,,,12993.75
1019,919-2022 U,Hackberry,Celtis occidentalis,,10,,41.83948757,-87.62853112,Unknown,,,Semi- mature,Good,,,2154.04
1020,920-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,6,,41.83948332,-87.62852332,Unknown,,,Semi- mature,Good,,,332.34
1021,921-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,7,,41.83950067,-87.62841942,Unknown,,,Semi- mature,Good,,,452.35
1022,922-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,17,,41.83948492,-87.6283977,Unknown,,,Semi- mature,Fair,,,3176.11
1023,923-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,16,,41.83945282,-87.62836697,Unknown,,,Semi- mature,Fair,,,3938.82
1024,924-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,11,,41.83946857,-87.62832867,Unknown,,,Semi- mature,Fair,,,1329.79
1025,925-2022 U,Elm-Siberian,Ulmus pumila,,18,,41.83756892,-87.62649245,Unknown,,,Semi- mature,Fair,,,4985.06
